filepath,filename,label,split
../Dataset and Notebook-20251115/dataset_leukocytes/lymphocyte/LY_86171.jpg,LY_86171.jpg,lymphocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/lymphocyte/LY_961135.jpg,LY_961135.jpg,lymphocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/eosinophil/EO_490207.jpg,EO_490207.jpg,eosinophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/eosinophil/EO_61251.jpg,EO_61251.jpg,eosinophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/monocyte/MO_294724.jpg,MO_294724.jpg,monocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/monocyte/MO_278768.jpg,MO_278768.jpg,monocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/basophil/BA_868537.jpg,BA_868537.jpg,basophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/lymphocyte/LY_870847.jpg,LY_870847.jpg,lymphocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/lymphocyte/LY_74824.jpg,LY_74824.jpg,lymphocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/neutrophil/BNE_864734.jpg,BNE_864734.jpg,neutrophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/neutrophil/BNE_101234.jpg,BNE_101234.jpg,neutrophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/basophil/BA_929127.jpg,BA_929127.jpg,basophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/eosinophil/EO_2736.jpg,EO_2736.jpg,eosinophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/lymphocyte/LY_8432.jpg,LY_8432.jpg,lymphocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/basophil/BA_35991.jpg,BA_35991.jpg,basophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/eosinophil/EO_49360.jpg,EO_49360.jpg,eosinophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/lymphocyte/LY_161086.jpg,LY_161086.jpg,lymphocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/eosinophil/EO_508637.jpg,EO_508637.jpg,eosinophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/eosinophil/EO_45659.jpg,EO_45659.jpg,eosinophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/monocyte/MO_919860.jpg,MO_919860.jpg,monocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/monocyte/MO_986516.jpg,MO_986516.jpg,monocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/eosinophil/EO_47816.jpg,EO_47816.jpg,eosinophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/lymphocyte/LY_397238.jpg,LY_397238.jpg,lymphocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/basophil/BA_72574.jpg,BA_72574.jpg,basophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/monocyte/MO_348749.jpg,MO_348749.jpg,monocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/basophil/BA_330244.jpg,BA_330244.jpg,basophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/neutrophil/BNE_73288.jpg,BNE_73288.jpg,neutrophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/neutrophil/BNE_838349.jpg,BNE_838349.jpg,neutrophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/lymphocyte/LY_404117.jpg,LY_404117.jpg,lymphocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/monocyte/MO_11595.jpg,MO_11595.jpg,monocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/basophil/BA_324965.jpg,BA_324965.jpg,basophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/monocyte/MO_104451.jpg,MO_104451.jpg,monocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/neutrophil/BNE_239636.jpg,BNE_239636.jpg,neutrophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/basophil/BA_540646.jpg,BA_540646.jpg,basophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/basophil/BA_866633.jpg,BA_866633.jpg,basophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/monocyte/MO_89959.jpg,MO_89959.jpg,monocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/eosinophil/EO_484601.jpg,EO_484601.jpg,eosinophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/monocyte/MO_136404.jpg,MO_136404.jpg,monocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/basophil/BA_35708.jpg,BA_35708.jpg,basophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/monocyte/MO_994944.jpg,MO_994944.jpg,monocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/lymphocyte/LY_386792.jpg,LY_386792.jpg,lymphocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/eosinophil/EO_41073.jpg,EO_41073.jpg,eosinophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/basophil/BA_901979.jpg,BA_901979.jpg,basophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/neutrophil/BNE_864076.jpg,BNE_864076.jpg,neutrophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/lymphocyte/LY_877960.jpg,LY_877960.jpg,lymphocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/basophil/BA_535962.jpg,BA_535962.jpg,basophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/lymphocyte/LY_19758.jpg,LY_19758.jpg,lymphocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/lymphocyte/LY_984424.jpg,LY_984424.jpg,lymphocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/lymphocyte/LY_907480.jpg,LY_907480.jpg,lymphocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/basophil/BA_989748.jpg,BA_989748.jpg,basophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/basophil/BA_855924.jpg,BA_855924.jpg,basophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/neutrophil/BNE_66389.jpg,BNE_66389.jpg,neutrophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/neutrophil/BNE_781944.jpg,BNE_781944.jpg,neutrophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/basophil/BA_271614.jpg,BA_271614.jpg,basophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/neutrophil/BNE_51150.jpg,BNE_51150.jpg,neutrophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/basophil/BA_49224.jpg,BA_49224.jpg,basophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/basophil/BA_943255.jpg,BA_943255.jpg,basophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/neutrophil/BNE_77263.jpg,BNE_77263.jpg,neutrophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/basophil/BA_988506.jpg,BA_988506.jpg,basophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/basophil/BA_74809.jpg,BA_74809.jpg,basophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/neutrophil/BNE_280282.jpg,BNE_280282.jpg,neutrophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/monocyte/MO_323032.jpg,MO_323032.jpg,monocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/lymphocyte/LY_995949.jpg,LY_995949.jpg,lymphocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/basophil/BA_564059.jpg,BA_564059.jpg,basophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/basophil/BA_887335.jpg,BA_887335.jpg,basophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/basophil/BA_845828.jpg,BA_845828.jpg,basophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/lymphocyte/LY_956038.jpg,LY_956038.jpg,lymphocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/lymphocyte/LY_407147.jpg,LY_407147.jpg,lymphocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/monocyte/MO_949892.jpg,MO_949892.jpg,monocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/monocyte/MO_122086.jpg,MO_122086.jpg,monocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/monocyte/MO_325850.jpg,MO_325850.jpg,monocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/monocyte/MO_987913.jpg,MO_987913.jpg,monocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/neutrophil/BNE_813359.jpg,BNE_813359.jpg,neutrophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/basophil/BA_6109.jpg,BA_6109.jpg,basophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/monocyte/MO_12267.jpg,MO_12267.jpg,monocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/basophil/BA_594428.jpg,BA_594428.jpg,basophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/eosinophil/EO_159974.jpg,EO_159974.jpg,eosinophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/monocyte/MO_859473.jpg,MO_859473.jpg,monocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/eosinophil/EO_155490.jpg,EO_155490.jpg,eosinophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/neutrophil/BNE_81058.jpg,BNE_81058.jpg,neutrophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/lymphocyte/LY_409311.jpg,LY_409311.jpg,lymphocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/monocyte/MO_61548.jpg,MO_61548.jpg,monocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/eosinophil/EO_55874.jpg,EO_55874.jpg,eosinophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/neutrophil/BNE_88499.jpg,BNE_88499.jpg,neutrophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/lymphocyte/LY_85630.jpg,LY_85630.jpg,lymphocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/eosinophil/EO_520526.jpg,EO_520526.jpg,eosinophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/neutrophil/BNE_269708.jpg,BNE_269708.jpg,neutrophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/lymphocyte/LY_978489.jpg,LY_978489.jpg,lymphocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/lymphocyte/LY_963670.jpg,LY_963670.jpg,lymphocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/basophil/BA_986028.jpg,BA_986028.jpg,basophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/eosinophil/EO_13364.jpg,EO_13364.jpg,eosinophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/basophil/BA_878109.jpg,BA_878109.jpg,basophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/monocyte/MO_348475.jpg,MO_348475.jpg,monocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/basophil/BA_314590.jpg,BA_314590.jpg,basophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/monocyte/MO_927827.jpg,MO_927827.jpg,monocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/lymphocyte/LY_13675.jpg,LY_13675.jpg,lymphocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/lymphocyte/LY_920111.jpg,LY_920111.jpg,lymphocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/basophil/BA_956163.jpg,BA_956163.jpg,basophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/neutrophil/BNE_87643.jpg,BNE_87643.jpg,neutrophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/monocyte/MO_882014.jpg,MO_882014.jpg,monocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/basophil/BA_324268.jpg,BA_324268.jpg,basophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/eosinophil/EO_33894.jpg,EO_33894.jpg,eosinophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/lymphocyte/LY_833791.jpg,LY_833791.jpg,lymphocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/basophil/BA_603889.jpg,BA_603889.jpg,basophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/basophil/BA_527567.jpg,BA_527567.jpg,basophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/lymphocyte/LY_26778.jpg,LY_26778.jpg,lymphocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/monocyte/MO_321187.jpg,MO_321187.jpg,monocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/monocyte/MO_960407.jpg,MO_960407.jpg,monocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/basophil/BA_602999.jpg,BA_602999.jpg,basophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/eosinophil/EO_24753.jpg,EO_24753.jpg,eosinophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/monocyte/MO_48904.jpg,MO_48904.jpg,monocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/monocyte/MO_854235.jpg,MO_854235.jpg,monocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/neutrophil/BNE_63504.jpg,BNE_63504.jpg,neutrophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/basophil/BA_4118.jpg,BA_4118.jpg,basophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/lymphocyte/LY_153467.jpg,LY_153467.jpg,lymphocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/neutrophil/BNE_825578.jpg,BNE_825578.jpg,neutrophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/neutrophil/BNE_834526.jpg,BNE_834526.jpg,neutrophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/lymphocyte/LY_158006.jpg,LY_158006.jpg,lymphocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/lymphocyte/LY_171028.jpg,LY_171028.jpg,lymphocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/basophil/BA_283950.jpg,BA_283950.jpg,basophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/lymphocyte/LY_60114.jpg,LY_60114.jpg,lymphocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/lymphocyte/LY_960788.jpg,LY_960788.jpg,lymphocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/eosinophil/EO_505246.jpg,EO_505246.jpg,eosinophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/neutrophil/BNE_853528.jpg,BNE_853528.jpg,neutrophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/neutrophil/BNE_277387.jpg,BNE_277387.jpg,neutrophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/neutrophil/BNE_260247.jpg,BNE_260247.jpg,neutrophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/lymphocyte/LY_874823.jpg,LY_874823.jpg,lymphocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/lymphocyte/LY_81076.jpg,LY_81076.jpg,lymphocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/lymphocyte/LY_370728.jpg,LY_370728.jpg,lymphocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/lymphocyte/LY_87125.jpg,LY_87125.jpg,lymphocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/neutrophil/BNE_781521.jpg,BNE_781521.jpg,neutrophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/neutrophil/BNE_898606.jpg,BNE_898606.jpg,neutrophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/lymphocyte/LY_86114.jpg,LY_86114.jpg,lymphocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/lymphocyte/LY_861914.jpg,LY_861914.jpg,lymphocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/lymphocyte/LY_380019.jpg,LY_380019.jpg,lymphocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/basophil/BA_270647.jpg,BA_270647.jpg,basophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/monocyte/MO_119666.jpg,MO_119666.jpg,monocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/monocyte/MO_70005.jpg,MO_70005.jpg,monocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/lymphocyte/LY_914653.jpg,LY_914653.jpg,lymphocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/lymphocyte/LY_954324.jpg,LY_954324.jpg,lymphocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/eosinophil/EO_1007.jpg,EO_1007.jpg,eosinophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/monocyte/MO_980470.jpg,MO_980470.jpg,monocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/neutrophil/BNE_846496.jpg,BNE_846496.jpg,neutrophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/basophil/BA_567293.jpg,BA_567293.jpg,basophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/monocyte/MO_866623.jpg,MO_866623.jpg,monocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/neutrophil/BNE_64421.jpg,BNE_64421.jpg,neutrophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/basophil/BA_945631.jpg,BA_945631.jpg,basophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/basophil/BA_957241.jpg,BA_957241.jpg,basophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/eosinophil/EO_37796.jpg,EO_37796.jpg,eosinophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/lymphocyte/LY_948851.jpg,LY_948851.jpg,lymphocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/neutrophil/BNE_29805.jpg,BNE_29805.jpg,neutrophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/neutrophil/BNE_48402.jpg,BNE_48402.jpg,neutrophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/basophil/BA_555760.jpg,BA_555760.jpg,basophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/neutrophil/BNE_243975.jpg,BNE_243975.jpg,neutrophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/eosinophil/EO_42604.jpg,EO_42604.jpg,eosinophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/basophil/BA_32675.jpg,BA_32675.jpg,basophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/monocyte/MO_53142.jpg,MO_53142.jpg,monocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/monocyte/MO_889486.jpg,MO_889486.jpg,monocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/eosinophil/EO_62120.jpg,EO_62120.jpg,eosinophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/neutrophil/BNE_96489.jpg,BNE_96489.jpg,neutrophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/monocyte/MO_919757.jpg,MO_919757.jpg,monocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/eosinophil/EO_504106.jpg,EO_504106.jpg,eosinophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/basophil/BA_319331.jpg,BA_319331.jpg,basophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/lymphocyte/LY_909959.jpg,LY_909959.jpg,lymphocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/basophil/BA_297732.jpg,BA_297732.jpg,basophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/monocyte/MO_273522.jpg,MO_273522.jpg,monocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/neutrophil/BNE_241283.jpg,BNE_241283.jpg,neutrophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/basophil/BA_583859.jpg,BA_583859.jpg,basophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/neutrophil/BNE_1830.jpg,BNE_1830.jpg,neutrophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/lymphocyte/LY_851511.jpg,LY_851511.jpg,lymphocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/neutrophil/BNE_91645.jpg,BNE_91645.jpg,neutrophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/basophil/BA_848804.jpg,BA_848804.jpg,basophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/neutrophil/BNE_766773.jpg,BNE_766773.jpg,neutrophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/basophil/BA_599277.jpg,BA_599277.jpg,basophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/lymphocyte/LY_848571.jpg,LY_848571.jpg,lymphocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/neutrophil/BNE_862836.jpg,BNE_862836.jpg,neutrophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/monocyte/MO_14626.jpg,MO_14626.jpg,monocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/neutrophil/BNE_269438.jpg,BNE_269438.jpg,neutrophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/monocyte/MO_907857.jpg,MO_907857.jpg,monocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/monocyte/MO_968874.jpg,MO_968874.jpg,monocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/basophil/BA_830805.jpg,BA_830805.jpg,basophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/monocyte/MO_127949.jpg,MO_127949.jpg,monocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/neutrophil/BNE_836973.jpg,BNE_836973.jpg,neutrophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/eosinophil/EO_529838.jpg,EO_529838.jpg,eosinophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/lymphocyte/LY_63391.jpg,LY_63391.jpg,lymphocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/monocyte/MO_341127.jpg,MO_341127.jpg,monocyte,train
